book_id,symbol,data_dir,hawkes_rates_file,fundamental_price_ticks,fundamental_volatility_bps_sqrt_second,fundamental_move_probability_per_second,fundamental_conditional_kurtosis,initial_best_bid_ticks,initial_best_ask_ticks,initial_best_bid_depth,initial_best_ask_depth,beta,basket_weight,market_maker_quote_quantity,target_spread_ticks,quote_improvement_probability,target_mean_bid_depth,target_mean_ask_depth,fundamental_log_variance_persistence,fundamental_log_variance_std,fundamental_order_flow_coupling
36,ADVM,data/empirical/pooled/pooled_five_2019_sessions_advm,data/empirical/pooled/pooled_five_2019_sessions_advm/hawkes_rates_advm_pooled_five_2019_sessions.csv,106050.0,3.5958288820237838,0.037676823795888714,29.272536455590714,104600,107500,500,826,0.308,0.0,50,3,0.25730004231908593,265.3995384615385,359.99056410256406,0.94999999999999996,0.25,0.42535994603367877
37,AEGN,data/empirical/pooled/pooled_five_2019_sessions_aegn,data/empirical/pooled/pooled_five_2019_sessions_aegn/hawkes_rates_aegn_pooled_five_2019_sessions.csv,226600.0,2.742711888753544,0.041275268173853588,88.649307561746255,215300,237900,9,100,0.82311111111111113,0.0,50,7,0.47512321051396383,161.04637606837608,152.12597435897436,0.94999999999999996,0.25,0.42535994603367877
38,AEIS,data/empirical/pooled/pooled_five_2019_sessions_aeis,data/empirical/pooled/pooled_five_2019_sessions_aeis/hawkes_rates_aeis_pooled_five_2019_sessions.csv,755400.0,2.8043406243541735,0.091508184110432073,672.65278693647895,720000,790800,8,500,2.4762222222222223,0.0,50,13,0.58881954641866541,121.67222222222222,109.24382905982907,0.94999999999999996,0.25,0.54198644623863046
39,AERI,data/empirical/pooled/pooled_five_2019_sessions_aeri,data/empirical/pooled/pooled_five_2019_sessions_aeri/hawkes_rates_aeri_pooled_five_2019_sessions.csv,214300.0,2.7157836220322729,0.072131287661865898,83.078298741214056,205100,223500,500,4500,1.0840000000000001,0.0,50,9,0.44062961141170681,160.50788034188037,163.29005128205128,0.94999999999999996,0.25,0.42535994603367877
40,AFIN,data/empirical/pooled/pooled_five_2019_sessions_afin,data/empirical/pooled/pooled_five_2019_sessions_afin/hawkes_rates_afin_pooled_five_2019_sessions.csv,131450.0,1.3972576281124223,0.015821188939698277,23.502654379313171,124300,138600,100,100,0.52022222222222225,0.0,50,4,0.18249090681048538,577.25600854700849,703.99050427350426,0.94999999999999996,0.1222182091484173,0
41,AFMD,data/empirical/pooled/pooled_five_2019_sessions_afmd,data/empirical/pooled/pooled_five_2019_sessions_afmd/hawkes_rates_afmd_pooled_five_2019_sessions.csv,27500.0,4.1440169760062675,0.018111885123295868,27.813171136691984,25500,29500,100,5500,0.13244444444444445,0.0,50,2,0.14636835576790555,1278.8912393162393,847.37900000000013,0.94999999999999996,0.25,0.36419212403997098
42,AGEN,data/empirical/pooled/pooled_five_2019_sessions_agen,data/empirical/pooled/pooled_five_2019_sessions_agen/hawkes_rates_agen_pooled_five_2019_sessions.csv,37650.0,2.5858816313550874,0.0063763408692679175,12.656070698779827,36800,38500,400,500,0.12933333333333333,0.0,50,1,0.028855275640349953,2644.0376923076924,2099.6610000000001,0.94999999999999996,0.25,0.14684855564149249
43,AGFS,data/empirical/pooled/pooled_five_2019_sessions_agfs,data/empirical/pooled/pooled_five_2019_sessions_agfs/hawkes_rates_agfs_pooled_five_2019_sessions.csv,23650.0,3.6513356717137722,0.0082311209880764138,54.373817550220352,21100,26200,1000,100,0.126,0.0,50,2,0.26428998207528381,318.1265299145299,654.39205128205128,0.94999999999999996,0.25,0.36419212403997098
44,AGIO,data/empirical/pooled/pooled_five_2019_sessions_agio,data/empirical/pooled/pooled_five_2019_sessions_agio/hawkes_rates_agio_pooled_five_2019_sessions.csv,509850.0,2.6350461951272743,0.11046625924184794,66.915781122104192,469700,550000,800,8,2.1455555555555557,0.0,50,12,0.49873678300739216,131.83328205128205,135.85964102564103,0.94999999999999996,0.25,0.54198644623863046
45,AGLE,data/empirical/pooled/pooled_five_2019_sessions_agle,data/empirical/pooled/pooled_five_2019_sessions_agle/hawkes_rates_agle_pooled_five_2019_sessions.csv,74450.0,3.5307431887229357,0.025120731655198941,32.723806835434296,66700,82200,100,100,0.35222222222222221,0.0,50,6,0.43112338858195209,177.98185470085471,173.78341880341881,0.94999999999999996,0.25,0.054854410483294959
