symbol,cluster_id
SBT,1
SBUX,9
SCHL,3
SCHN,3
SCOR,4
SCSC,3
SCVL,3
SCWX,1
SEAC,4
SEDG,2
SEIC,5
SELB,4
SENEA,0
SFBS,3
SFIX,5
SFM,6
SFNC,5
SFST,0
SGC,0
SGEN,2
SGMO,6
SGMS,5
SGRY,3
SHEN,3
SHOO,5
SHSP,1
SIBN,1
SIEN,6
SIGA,4
SIGI,2
SIRI,8
SIVB,7
SKYW,2
SLAB,2
SLCT,3
SLDB,1
SLGN,5
SLM,8
SLNO,4
SLP,3
SLRC,6
SMBC,0
SMBK,0
SMPL,5
SMSI,4
SMTC,5
SNBR,5
SNCR,6
SND,4
SNDX,1
SNFCA,1
SNPS,7
SOHO,6
SOLO,4
SONA,3
SONO,6
SORL,4
SP,3
SPAR,3
SPLK,7
SPNE,1
SPNS,3
SPOK,3
SPPI,4
SPRO,1
SPSC,2
SPTN,3
SPWH,6
SPWR,8
SRAX,4
SRCE,2
SRCL,5
SRDX,0
SRNE,8
SRPT,2
SRRK,1
SRTS,1
SSB,2
SSNC,5
SSP,6
SSRM,5
SSTI,0
STAA,3
STAY,6
STBA,3
STFC,0
STIM,1
STKL,4
STLD,9
STML,1
STMP,2
STNE,5
STRA,2
STRL,3
STRO,1
STX,9
STXB,3
SUNS,6
SUPN,3
SURF,4
SVMK,5
SWIR,6
SWKS,7
SYBT,0
SYBX,4
SYKE,3
SYNA,5
SYNH,5
SYRS,1
TA,3
TACO,4
TACT,0
TAIT,4
TANH,4
TAST,6
TBBK,6
TBIO,1
TBK,3
TBNK,0
TCBI,5
TCBK,3
TCDA,0
TCMD,2
TCPC,6
TCRD,6
TCX,0
TECD,2
TECH,2
TELL,8
TENB,3
TENX,4
TER,9
TERP,6
TFSL,6
TGTX,8
THFF,0
THRM,3
TIGO,2
TILE,6
TIPT,6
TITN,1
TIVO,6
TLRY,3
TMUS,9
TNAV,4
TNDM,2
TORC,4
TOWN,3
TPCO,1
TPIC,3
TREE,2
TRHC,2
TRIP,9
TRMB,5
TRMK,5
TROW,7
TRS,3
TRST,6
TRUE,8
TRUP,3
TSBK,0
TSC,3
TSCO,7
TSG,9
TSLA,7
TTD,2
TTEC,0
TTEK,2
TTGT,3
TTMI,6
TTOO,4
TTWO,7
TUES,4
TUSK,4
TVTY,5
TWIN,1
TWNK,6
TWOU,5
TWST,0
TXMD,8
TXN,9
TXRH,5
TYME,4
TZOO,1
UAL,7
UBSI,5
UBX,1
UCBI,5
UCFC,6
UCTT,5
UEIC,0
UEPS,6
UFCS,0
UFPI,5
UFPT,0
UHAL,2
UIHC,3
ULBI,1
ULH,3
ULTA,7
UMBF,2
UMPQ,6
UNIT,8
UPLD,3
UPWK,6
URBN,9
USAK,1
USAP,1
USCR,2
UTHR,2
UTMD,0
UVSP,3
VBTX,5
VC,2
VCEL,3
VCTR,3
VCYT,3
VECO,5
VERI,4
VERU,4
VIAV,6
VICR,3
VIRT,6
VIVO,6
VKTX,8
VLGEA,3
VLY,8
VNDA,5
VOXX,1
VRA,3
VRAY,8
VREX,3
VRNS,2
VRNT,5
VRRM,6
VRSK,7
VRSN,7
VRTS,0
VRTU,3
VRTX,7
VSAT,5
VSTM,8
VTNR,4
VTSI,1
VTVT,4
VUZI,4
VVUS,4
VYGR,1
WABC,2
WAFD,5
WASH,0
WATT,4
WBA,9
WDAY,7
WDC,9
WDFC,2
